directory_name,name,packages,version,average_entropy,python_file_count,package_size,contains_ip,contains_domain,contains_bytestrings,contains_base64,contains_eval,contains_import_subprocess,contains_import_os,contains_import_network_modules,contains_os_environ_access,license,author,author_email,package_dir,url,keywords,install_requires,description,long_description_content_type,long_description,classifiers,zip_safe,cmdclass,python_requires,tests_require,package_data,include_package_data,extras_require,project_urls,maintainer,py_modules,scripts,data_files,entry_points,null,platforms,download_url,py_module,setup_requires,options,post_install,authors,test_suite,platform,bugtrack_url,package
discord-wbehook,discord-wbehook,['discord-wbehook'],0.1,1.8801900148857729,2,1235261,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfpepvirtual,,,,5.217188273480492,1,23169,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pycryptro,pycryptro,"Call(func=Name(id='find_packages', ctx=Load()), args=[Constant(value='src')], keywords=[])",1.6,2.358720514430698,4,69412,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,MIT,unknownwhoami,claysmith@gmail.com,{'': 'src'},https://github.com/findme,crypter project,['requests'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discorrd-webhook,discorrd-webhook,['discorrd-webhook'],0.1,1.8802646884583214,2,1235268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinyad1,,,,1.651381369753886,3,11186,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simplejso,simplejso,['simplejso'],0.1,1.8795349380688398,2,1235219,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
libosintliblgtb,,,,5.180981390971789,1,23290,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenssorflow,tenssorflow,['tenssorflow'],0.1,1.8797050196697345,2,1235233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tppongadultra,,,,5.198630247144943,1,22944,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pycodesytle,pycodesytle,['pycodesytle'],0.1,1.8797632137253621,2,1235233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selfvmproofgui,,,,5.232589441028898,1,23297,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
printf,printf,"Call(func=Name(id='find_packages', ctx=Load()), args=[], keywords=[])","Name(id='VERSION', ctx=Load())",4.155690517483979,3,6384,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,dynastyoak,nagogy@gmail.com,,,['python'],[],"Name(id='DESCRIPTION', ctx=Load())",text/markdown,"Name(id='LONG_DESCRIPTION', ctx=Load())","['Programming Language :: Python :: 3', 'Operating System :: Microsoft :: Windows']",,,,,,,,,,,,,,,,,,,,,,,,,
python-biinance,python-biinance,['python-biinance'],0.1,1.880000972243096,2,1235260,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
