label,name,packages,version,average_entropy,python_file_count,package_size,contains_ip,contains_domain,contains_bytestrings,contains_base64,contains_import_subprocess,contains_import_os,contains_import_network_modules
1,1,1,1,1.8801900148857729,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.217188273480492,1,23510,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,2.358720514430698,4,69748,0.0,1.0,0.0,1.0,1.0,1.0,1.0
1,1,1,1,1.8802646884583212,2,1235613,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.651381369753886,3,11520,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.87953493806884,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.180981390971789,1,23632,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8797050196697345,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.198630247144943,1,23284,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.879763213725362,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.232589441028898,1,23638,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.155690517483979,3,6716,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.880000972243096,2,1235604,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.208662927267349,1,22702,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.746448687111858,1,6829,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,5.002850728126335,1,4120,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1.87960228334324,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.213347229509045,1,23250,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8798857601817969,2,1235597,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8800728302005127,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.2038109837104525,1,23285,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8796082159528733,2,1235565,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.218313683133253,1,24038,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.745364739123178,1,6774,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.879733251361866,2,1235572,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.0174394770904485,1,4151,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,5.216246601456724,1,23771,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.10697392736768,1,244706,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,4.272220112270306,2,8433,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.908898574302636,2,65751,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,1,1,1,5.236457266014989,1,24158,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.73951605090473,1,6828,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.318946318352695,2,11067,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.879489674454876,2,1235548,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.880049908358596,2,1235596,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8795186247134748,2,1235549,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.206394782704844,1,23284,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.943982083820643,1,5153,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8802842378011648,2,1235613,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.234847634469378,1,24158,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.88015656243922,2,1235613,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.229084094956289,1,23896,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.912548242737451,1,6449,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1.879227383545356,2,1235525,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.1805191749558,1,23763,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.213546440417116,1,22704,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.879644070576208,2,1235556,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.315108311748216,2,11077,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8798528364681528,2,1235581,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.216844740506737,1,23250,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.177584462306775,1,24019,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.201214136330065,1,23931,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.485178242604786,33,2461655,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1,1,5.217012958724378,1,23120,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8793894194109877,2,1235549,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,2.7639211348037014,2,20689,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8796656648987424,2,1235565,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8796227958817853,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.216207018310858,1,23510,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,1.8795968268287724,2,1235565,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8796227958817853,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.069980471559703,2,11571,0.0,1.0,0.0,1.0,1.0,0.0,1.0
1,1,1,1,1.8801900148857729,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8795431173215351,2,1235557,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.207165709235099,1,22570,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.234312209618618,1,23380,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.217730126193649,1,22990,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.798974606134068,1,14039,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1.8797521278641576,2,1235573,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,5.207954845219559,1,24098,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,5.212427992511679,1,22439,0.0,1.0,0.0,1.0,1.0,1.0,0.0
1,1,1,1,4.90121041520075,17,361804,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.317592820272012,2,11083,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.326020086241506,2,11133,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.111389393881213,2,672813,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,4.949237365452075,1,53607,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,4.3207799321279134,2,11078,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,1.8803079474279976,2,1235621,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.575907272805357,6,52177,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1,1,1,1,2.80069601925728,2,1881101,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1,1,1,1,4.99574564616605,1,4129,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1,1,1,1.8800590377792783,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,1.8801900148857729,2,1235605,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,1,1,4.429640175805959,116,5072940,1.0,1.0,0.0,1.0,1.0,1.0,1.0
